Date : 2021-07-01 14:47:03
Directory : /Users/zouxinyu/Yuki/my-blog/src
Total : 75 files,  6082 codes, 903 comments, 808 blanks, all 7793 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/vue3.xLogo.svg                                   | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/webapp.svg                                       | XML        |          1 |          0 |          0 |          1 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/img/footerImg/sakura.svg                                      | XML        |         25 |          0 |          0 |         25 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/ts/API.ts                                                     | TypeScript |          2 |          7 |          2 |         11 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/ts/Regexp.ts                                                  | TypeScript |          4 |          6 |          2 |         12 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/ts/base64.ts                                                  | TypeScript |         14 |          9 |          1 |         24 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/ts/canvas.ts                                                  | TypeScript |         93 |         12 |         10 |        115 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/ts/common.ts                                                  | TypeScript |         69 |         46 |         15 |        130 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/ts/markdownEditorSet.ts                                       | TypeScript |         54 |         25 |         13 |         92 |
| /Users/zouxinyu/Yuki/my-blog/src/assets/ts/yome.ts                                                    | TypeScript |         18 |          1 |          2 |         21 |
| /Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/addPage.vue                           | Vue        |        421 |         79 |         51 |        551 |
| /Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/appKanriPage.vue                      | Vue        |        191 |         30 |         26 |        247 |
| /Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/artKanriPage.vue                      | Vue        |        161 |         41 |         20 |        222 |
| /Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/homePageKanriPage.vue                 | Vue        |        135 |         24 |         12 |        171 |
| /Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/imgUpLoad.vue                         | Vue        |         87 |          8 |         13 |        108 |
| /Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/typeClassKanri.vue                    | Vue        |          6 |          0 |          1 |          7 |
| /Users/zouxinyu/Yuki/my-blog/src/components/adminPage/kanriPage/userSetPage.vue                       | Vue        |        214 |         32 |         35 |        281 |
| /Users/zouxinyu/Yuki/my-blog/src/components/adminPage/sidebar.vue                                     | Vue        |         81 |          4 |          9 |         94 |
| /Users/zouxinyu/Yuki/my-blog/src/components/appItem/appItem.vue                                       | Vue        |         88 |          2 |         14 |        104 |
| /Users/zouxinyu/Yuki/my-blog/src/components/backTop/backTop.vue                                       | Vue        |        121 |         34 |         21 |        176 |
| /Users/zouxinyu/Yuki/my-blog/src/components/backTop/css/kituneMove.css                                | CSS        |        301 |          2 |         42 |        345 |
| /Users/zouxinyu/Yuki/my-blog/src/components/banner/2021-haru/bannerHaru.vue                           | Vue        |        354 |         42 |         10 |        406 |
| /Users/zouxinyu/Yuki/my-blog/src/components/banner/2021-haru/imageBox.vue                             | Vue        |         36 |          1 |          3 |         40 |
| /Users/zouxinyu/Yuki/my-blog/src/components/banner/2021-natu/bannerNatu.vue                           | Vue        |         81 |         23 |         10 |        114 |
| /Users/zouxinyu/Yuki/my-blog/src/components/blogFooter/blogFooter.vue                                 | Vue        |         72 |          0 |         13 |         85 |
| /Users/zouxinyu/Yuki/my-blog/src/components/classPageItem/classPageItem.vue                           | Vue        |        144 |         15 |         20 |        179 |
| /Users/zouxinyu/Yuki/my-blog/src/components/contentLine/contentLine.vue                               | Vue        |         55 |          0 |         10 |         65 |
| /Users/zouxinyu/Yuki/my-blog/src/components/contentPageItem/contentPageItem.vue                       | Vue        |        178 |         21 |         30 |        229 |
| /Users/zouxinyu/Yuki/my-blog/src/components/contentPageItem/contentPageItemTag/contentPageItemTag.vue | Vue        |         35 |          0 |          6 |         41 |
| /Users/zouxinyu/Yuki/my-blog/src/components/contentTop/contentTop.vue                                 | Vue        |        109 |          9 |         16 |        134 |
| /Users/zouxinyu/Yuki/my-blog/src/components/home/indexNav.vue                                         | Vue        |         82 |          2 |         13 |         97 |
| /Users/zouxinyu/Yuki/my-blog/src/components/indexList/indexList.vue                                   | Vue        |        182 |         33 |         28 |        243 |
| /Users/zouxinyu/Yuki/my-blog/src/components/indexList/indexListItem/indexListItem.vue                 | Vue        |         20 |          1 |          7 |         28 |
| /Users/zouxinyu/Yuki/my-blog/src/components/language/language.vue                                     | Vue        |         58 |          4 |         10 |         72 |
| /Users/zouxinyu/Yuki/my-blog/src/components/nav/topNav.vue                                            | Vue        |        374 |         54 |         53 |        481 |
| /Users/zouxinyu/Yuki/my-blog/src/components/topLogo/topLogo.vue                                       | Vue        |         91 |          8 |         13 |        112 |
| /Users/zouxinyu/Yuki/my-blog/src/components/topProgress/topProgress.vue                               | Vue        |         58 |         19 |         12 |         89 |
| /Users/zouxinyu/Yuki/my-blog/src/components/viewMore/viewMore.vue                                     | Vue        |         44 |          0 |          9 |         53 |
| /Users/zouxinyu/Yuki/my-blog/src/main.ts                                                              | TypeScript |         94 |         33 |         20 |        147 |
| /Users/zouxinyu/Yuki/my-blog/src/plugins/element.ts                                                   | TypeScript |          6 |          0 |          2 |          8 |
| /Users/zouxinyu/Yuki/my-blog/src/router/adminRouter.ts                                                | TypeScript |         76 |          6 |          1 |         83 |
| /Users/zouxinyu/Yuki/my-blog/src/router/homePageRouter.ts                                             | TypeScript |         67 |          6 |          2 |         75 |
| /Users/zouxinyu/Yuki/my-blog/src/router/index.ts                                                      | TypeScript |         10 |          6 |          5 |         21 |
| /Users/zouxinyu/Yuki/my-blog/src/shims-vue.d.ts                                                       | TypeScript |         18 |          7 |          2 |         27 |
| /Users/zouxinyu/Yuki/my-blog/src/store/index.ts                                                       | TypeScript |         63 |         10 |          2 |         75 |
| /Users/zouxinyu/Yuki/my-blog/src/views/Home.vue                                                       | Vue        |        264 |         39 |         33 |        336 |
| /Users/zouxinyu/Yuki/my-blog/src/views/adminPage/adminHome.vue                                        | Vue        |         76 |         11 |         11 |         98 |
| /Users/zouxinyu/Yuki/my-blog/src/views/adminPage/testPage.vue                                         | Vue        |         69 |          0 |          3 |         72 |
| /Users/zouxinyu/Yuki/my-blog/src/views/application.vue                                                | Vue        |        144 |         13 |         19 |        176 |
| /Users/zouxinyu/Yuki/my-blog/src/views/classPage.vue                                                  | Vue        |        220 |         19 |         23 |        262 |
| /Users/zouxinyu/Yuki/my-blog/src/views/contentPage.vue                                                | Vue        |        294 |         90 |         40 |        424 |
| /Users/zouxinyu/Yuki/my-blog/src/views/searchPage.vue                                                 | Vue        |        220 |         19 |         23 |        262 |
| /Users/zouxinyu/Yuki/my-blog/src/views/senPage.vue                                                    | Vue        |        126 |         17 |         19 |        162 |
| /Users/zouxinyu/Yuki/my-blog/src/views/templatePage.vue                                               | Vue        |         36 |          4 |          9 |         49 |
| Total                                                                                                 |            |      6,082 |        903 |        808 |      7,793 |
+-------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
