"filename", "language", "TypeScript", "CSS", "Vue", "SCSS", "XML", "comment", "blank", "total"
"/Users/zouxinyu/Yuki/my-blog/src/App.vue", "Vue", 0, 0, 83, 0, 0, 7, 16, 106
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.css", "CSS", 0, 15, 0, 0, 0, 6, 4, 25
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.min.css", "CSS", 0, 1, 0, 0, 0, 0, 1, 2
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/adminCss/adminCommon.scss", "SCSS", 0, 0, 0, 17, 0, 8, 4, 29
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/common.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/common.min.css", "CSS", 0, 1, 0, 0, 0, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/common.scss", "SCSS", 0, 0, 0, 3, 0, 4, 2, 9
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/homeBack.css", "CSS", 0, 52, 0, 0, 0, 3, 8, 63
"/Users/zouxinyu/Yuki/my-blog/src/assets/css/loadAnime.css", "CSS", 0, 54, 0, 0, 0, 1, 7, 62
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/anchor.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/androidapp.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/app.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/close.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/dot.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/heart.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/iosapp.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
"/Users/zouxinyu/Yuki/my-blog/src/assets/img/fontIcon/loginOut.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 1
